icao_code	iata_code	name	municipality	iso_country	latitude_deg	longitude_deg
PPIT	NUP	Nunapitchuk Airport	Nunapitchuk	US	60.905591	-162.440454
PAKA	TEK	Tatitlek Airport	Tatitlek	US	60.871449	-146.690297
PACH	CHU	Chuathbaluk Airport	Chuathbaluk	US	61.579102	-159.216003
HCAD	AAD	Adado Airport	Adado	SO	6.095802	46.6375
OEBT		Batha Airport	Batha	SA	24.214693	51.44989
OMQF		Al Qaffay Airport	Al Qaffay	AE	24.58956	51.727293
OMAY		Lower Yasat Island Airport	Al-Yasat	AE	24.18884	51.99655
OMLW		Liwa Air Base	Zayed City	AE	23.65128	53.82444
OMNK		Sas Al Nakheel Air Base	Sas Al Nakheel	AE	24.44128	54.51696
OAAK		Andkhoy Airport	Andkhoy	AF	36.942659	65.206746
OALG		Logar Airport		AF	33.9865	69.023102
OAMK		Muqur Airport	Muqur	AF	32.879601	67.848602
OAPJ		Panjab Airport	Panjab	AF	34.391726	67.020445
OATW		Taywarah Airport	Taywarah	AF	33.54309	64.42542
TAPB	BBQ	Burton-Nibbs International Airport	Codrington	AG	17.621194	-61.798347
AGAF	AFT	Afutara Aerodrome	Bila	SB	-9.191389	160.948611
AGAR	RNA	Ulawa Airport	Arona	SB	-9.86054358262	161.979546547
AGAT	ATD	Uru Harbour Airport	Atoifi	SB	-8.87333	161.011002
AGBA	VEV	Barakoma Airport	Barakoma	SB	-7.912779808044434	156.70599365234375
AGBT	BPF	Batuna Aerodrome	Batuna Mission Station	SB	-8.56202777778	158.119305556
AGEV	GEF	Geva Airport	Liangia	SB	-7.575829982757568	156.5970001220703
AGGA	AKS	Gwaunaru'u Airport	Auki	SB	-8.70257	160.682007
AGGB	BNY	Bellona/Anua Airport	Anua	SB	-11.302222222200001	159.798333333
AGGC	CHY	Choiseul Bay Airport	Choiseul Bay	SB	-6.711944	156.396111
AGGE	BAS	Ballalae Airport	Ballalae	SB	-6.990745	155.886656
AGGF	FRE	Fera/Maringe Airport	Fera Island	SB	-8.1075	159.576996
AGGH	HIR	Honiara International Airport	Honiara	SB	-9.428	160.054993
AGGI	MBU	Babanakira Airport	Mbambanakira	SB	-9.7475	159.839005
AGGJ	AVU	Avu Avu Airport	Avu Avu	SB	-9.868333	160.410556
AGGK	IRA	Ngorangora Airport	Kirakira	SB	-10.449700355500001	161.897994995
AGGL	SCZ	Santa Cruz/Graciosa Bay/Luova Airport	Santa Cruz/Graciosa Bay/Luova	SB	-10.7203	165.794998
AGGM	MUA	Munda Airport	Munda	SB	-8.32797	157.263
AGGN	GZO	Nusatupe Airport	Gizo	SB	-8.09778022766	156.863998413
AGGO	MNY	Mono Airport	Stirling Island	SB	-7.41694	155.565002
AGGP	PRS	Parasi Airport	Parasi	SB	-9.641670227050781	161.4250030517578
AGGR	RNL	Rennell/Tingoa Airport	Rennell Island	SB	-11.55	160.062778
AGGS	EGM	Sege Airport	Sege	SB	-8.57889	157.876007
AGGT	NNB	Santa Ana Airport	Santa Ana Island	SB	-10.847994	162.454108
AGGU	RUS	Marau Airport	Marau	SB	-9.86167	160.824997
AGGV	VAO	Suavanao Airport	Suavanao	SB	-7.58556	158.731003
AGGY	XYA	Yandina Airport	Yandina	SB	-9.092816	159.21841
AGKG	KGE	Kaghau Airport	Kagau Island	SB	-7.3305	157.585
AGKU	KUE	Kukudu Airport	Kolombangara Island	SB	-8.0262	156.94783
AGKW	KWS	Kwailabesi Airport	Kwailabesi	SB	-8.360508	160.775127
AGLM	LLM	Lomlom Airport	Lomlom	SB	-10.296828	166.327322
AGNA	NAZ	Nana Airport	Star Harbor	SB	-10.6758	162.2049
AGOB	MHM	Manaoba Airport	Manaoba	SB	-8.325008	160.80051
AGOK	GTA	Gatokae Aerodrome	Gatokae	SB	-8.738358	158.202836
AGRC	RIN	Ringi Cove Airport	Ringi Cove	SB	-8.12639045715332	157.14300537109375
AGRM	RBV	Ramata Airport	Ramata	SB	-8.168060302734375	157.64300537109375
UDCK	YUK	Syunik Airport	Kapan	AM	39.202272	46.455204
FMMB	AMY	Ambatomainty Airport		MG	-17.686667	45.623889
ANYN	INU	Nauru International Airport	Yaren	NR	-0.547893	166.919525
FNLM		Lumbala Airstrip	Lumbala	AO	-12.638947	22.589028
FNNL		Huambo Airport	Huambo	AO	-12.786306	15.774528
SACT		Chamical Airport	Gobernador Gordillo	AR	-30.345303	-66.294072
YLTT	LYT	Lady Elliot Island Airstrip	Lady Elliot Island	AU	-24.1129	152.7156
YFGS		Frogs Hollow Airfield	Tathra	AU	-36.760549	149.804163
YSKR		Skardon River Airport	Mapoon	AU	-11.866259	142.008762
YGRM	GYZ	Gruyere Airport	Cosmo Newbery	AU	-28.034548	123.81506
